iter	Logloss
0	0.6918895871
1	0.6907102353
2	0.6897003636
3	0.688565226
4	0.6872917871
5	0.686547162
6	0.6859163629
7	0.6852877702
8	0.6847521751
9	0.6842279146
10	0.6836887327
11	0.682967695
12	0.6821941629
13	0.6813954102
14	0.6809580242
15	0.6805324813
16	0.6804027274
17	0.680122531
18	0.6794679535
19	0.6792488485
20	0.6789650991
21	0.678827891
22	0.6785360303
23	0.6783310226
24	0.6778109276
25	0.6776773814
26	0.6775908916
27	0.67750354
28	0.6771050864
29	0.6768911999
30	0.6767838778
31	0.6764560079
32	0.6762058723
33	0.6761071686
34	0.6760267889
35	0.6759133733
36	0.6757126586
37	0.6755252951
38	0.6753831873
39	0.6753545692
40	0.6751429319
41	0.6750156432
42	0.6749278287
43	0.6748363717
44	0.6747421
45	0.6746022296
46	0.6742267956
47	0.6741775511
48	0.6741214599
49	0.6740723889
50	0.6739553663
51	0.6739171217
52	0.6737686957
53	0.6736674257
54	0.6736212439
55	0.673542634
56	0.6734170848
57	0.6733420321
58	0.6732209229
59	0.6731722216
60	0.6731475984
61	0.6731025416
62	0.6730247156
63	0.6729955217
64	0.6728727962
65	0.6728108664
66	0.6726970926
67	0.6726277052
68	0.6725811953
69	0.6725004455
70	0.6724383327
71	0.6723715356
72	0.672266764
73	0.6721934609
74	0.6721189284
75	0.6720664942
76	0.6719988951
77	0.671974228
78	0.6718921069
79	0.6717907729
80	0.6715227841
81	0.6714109806
82	0.6712827939
83	0.6712383432
84	0.6711867191
85	0.6711362252
86	0.6710823568
87	0.6710126437
88	0.6709630451
89	0.6709106949
90	0.6708625757
91	0.6707978001
92	0.6707383552
93	0.6707035052
94	0.670640723
95	0.6705945827
96	0.6703691363
97	0.6703220227
98	0.6702847864
99	0.6702183203
100	0.6701597235
101	0.6700902221
102	0.670042883
103	0.6699508698
104	0.6698858658
105	0.6698561852
106	0.6697843948
107	0.6696550272
108	0.6696235649
109	0.6695771611
110	0.6695148165
111	0.6694701412
112	0.6694118757
113	0.669372482
114	0.6693327784
115	0.6692706902
116	0.6692212753
117	0.6691360295
118	0.6691080594
119	0.6689734741
120	0.6689122099
121	0.6688435491
122	0.6688079262
123	0.6687652459
124	0.6687177256
125	0.6686459243
126	0.668618753
127	0.6683909578
128	0.6683521195
129	0.6682487565
130	0.6681759351
131	0.6681128297
132	0.6680758954
133	0.668042546
134	0.6678504397
135	0.6677836584
136	0.6677211373
137	0.6676327763
138	0.6675602169
139	0.6675279696
140	0.6674963971
141	0.6674594581
142	0.6674000806
143	0.6672648842
144	0.6671872617
145	0.6671413829
146	0.6670351738
147	0.6669998666
148	0.6669575118
149	0.6669253014
150	0.6668720988
151	0.6668158828
152	0.6666378583
153	0.6665590873
154	0.666520352
155	0.666481988
156	0.6663415135
157	0.6662895497
158	0.6661140008
159	0.666045188
160	0.6659975043
161	0.6659534913
162	0.6658611277
163	0.6658391455
164	0.6657220025
165	0.6656574324
166	0.6656177658
167	0.6655788003
168	0.6655544922
169	0.6655107211
170	0.6654318529
171	0.6653867678
172	0.6653028375
173	0.6652472516
